time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-05-01,16.0,12.8,19.4,0.0,0.0,,13.8,,1020.0,
2025-05-02,20.2,13.9,27.2,0.0,0.0,,5.7,,1012.2,
2025-05-03,22.1,16.1,27.2,9.8,0.0,,10.5,,1011.4,
2025-05-04,17.6,14.0,20.6,13.0,0.0,,6.8,,1013.6,
2025-05-05,15.6,13.9,18.1,10.1,0.0,,13.9,,1018.8,
2025-05-06,16.1,13.6,18.3,14.3,0.0,,9.5,,1017.5,
2025-05-07,17.9,13.2,22.8,0.3,0.0,,6.7,,1015.5,
2025-05-08,19.7,15.6,25.0,1.8,0.0,,8.8,,1015.8,
2025-05-09,14.8,12.3,17.7,20.6,0.0,,14.2,,1013.0,
2025-05-10,17.0,10.2,24.4,0.0,0.0,,5.2,,1014.5,
2025-05-11,20.3,14.4,27.2,0.0,0.0,,7.1,,1022.5,
2025-05-12,18.7,15.6,22.2,0.0,0.0,,8.8,,1025.6,
2025-05-13,17.9,15.5,21.1,3.3,0.0,,8.1,,1021.9,
2025-05-14,16.8,14.9,20.3,9.7,0.0,,18.9,,1018.0,
2025-05-15,17.3,15.2,20.6,0.0,0.0,,10.6,,1012.8,
2025-05-16,17.5,15.4,21.3,5.9,0.0,,4.4,,1008.8,
2025-05-17,22.3,16.8,27.8,0.0,0.0,,10.4,,1001.7,
2025-05-18,20.3,16.7,23.3,0.4,0.0,,11.5,,1002.9,
2025-05-19,18.1,13.9,22.8,0.0,0.0,,6.6,30.0,1008.3,
2025-05-20,15.3,10.6,21.1,0.0,0.0,,9.8,,1014.2,
2025-05-21,12.5,10.3,15.0,2.8,0.0,,18.5,,1015.6,
2025-05-22,10.8,9.2,12.6,23.8,0.0,,19.8,,1010.6,
2025-05-23,12.4,8.8,17.8,4.4,0.0,,7.2,,1010.4,
2025-05-24,14.6,10.6,19.4,0.0,0.0,,10.9,,1014.3,
2025-05-25,15.9,11.7,20.0,0.0,0.0,,6.8,,1019.1,
2025-05-26,17.7,12.8,24.4,0.0,0.0,,5.3,,1022.8,
2025-05-27,18.4,14.4,23.3,0.0,0.0,,7.5,,1026.8,
2025-05-28,15.5,12.7,18.3,7.6,0.0,,10.0,,1025.4,
2025-05-29,16.9,13.0,21.2,3.9,0.0,,11.1,,1016.8,
2025-05-30,19.0,16.2,23.3,2.9,0.0,,7.9,,1004.9,
2025-05-31,17.3,13.9,21.1,28.3,0.0,,9.7,,992.9,
2025-06-01,15.3,11.1,19.4,0.0,0.0,,17.8,,1006.2,
2025-06-02,17.5,13.3,22.8,0.0,0.0,,6.2,,1015.3,
2025-06-03,20.3,15.6,25.6,0.0,0.0,,7.2,,1020.5,
2025-06-04,22.1,16.7,27.8,0.0,0.0,,7.8,,1021.9,
2025-06-05,25.2,20.0,30.6,0.0,0.0,,10.1,,1017.2,
2025-06-06,24.6,20.6,28.9,0.1,0.0,,7.9,,1012.9,
2025-06-07,22.5,20.0,25.9,13.7,0.0,,4.9,,1008.2,
2025-06-08,20.4,17.6,24.4,0.2,0.0,,17.4,,1010.8,
2025-06-09,18.4,15.4,20.5,7.6,0.0,,14.9,,1012.6,
2025-06-10,20.2,17.2,24.1,1.7,0.0,,8.0,,1012.2,
2025-06-11,23.4,19.4,28.3,0.0,0.0,,10.9,,1017.5,
2025-06-12,25.6,20.6,31.7,0.0,0.0,,10.5,,1016.5,
2025-06-13,23.2,20.0,25.6,0.0,0.0,,10.5,,1019.5,
2025-06-14,18.3,17.1,20.6,9.2,0.0,,19.4,,1019.0,
2025-06-15,17.2,15.5,19.4,0.0,0.0,,11.2,,1021.7,
2025-06-16,18.3,15.7,21.0,1.7,0.0,,14.0,,1020.3,
2025-06-17,18.9,16.8,22.0,1.7,0.0,,7.2,,1017.5,
2025-06-18,23.2,18.2,32.0,10.2,0.0,,2.6,,1013.6,
2025-06-19,26.4,21.3,33.9,2.5,0.0,,8.2,,1009.1,
2025-06-20,25.2,18.6,31.1,0.2,0.0,,13.2,,1012.2,
2025-06-21,26.5,21.1,32.2,0.1,0.0,,8.2,,1018.9,
2025-06-22,27.6,22.0,34.9,0.5,0.0,,12.6,,1017.6,
2025-06-23,31.6,26.6,37.4,0.0,0.0,,5.2,,1018.2,
2025-06-24,33.2,25.0,42.8,0.0,0.0,,4.0,,1018.2,
2025-06-25,32.1,26.7,38.5,0.2,0.0,,6.4,,1016.4,
2025-06-26,26.0,20.0,30.8,0.0,0.0,,20.8,,1018.4,
2025-06-27,20.8,18.0,24.0,0.0,0.0,,15.2,,1023.6,
2025-06-28,24.0,19.4,28.4,1.9,0.0,,7.4,,1018.1,
2025-06-29,28.4,23.3,33.0,0.0,0.0,,7.1,,1015.0,
2025-06-30,27.7,22.4,32.9,0.4,0.0,,9.3,,1015.5,
2025-07-01,27.0,24.0,30.9,8.0,0.0,,8.9,,1011.1,
2025-07-02,25.5,22.7,28.9,13.1,0.0,,7.6,,1011.5,
2025-07-03,26.1,21.9,31.3,0.1,0.0,,8.1,,1011.5,
2025-07-04,23.9,18.5,28.2,0.0,0.0,,6.8,,1017.9,
2025-07-05,25.3,18.9,30.9,0.0,0.0,,8.9,,1020.9,
2025-07-06,27.6,21.7,33.2,0.0,0.0,,13.0,,1018.0,
2025-07-07,27.1,24.1,31.4,3.5,0.0,,9.7,,1015.5,
2025-07-08,28.0,23.8,35.9,18.0,0.0,,10.1,,1015.0,
2025-07-09,27.3,23.7,31.3,0.0,0.0,,11.3,,1015.7,
2025-07-10,24.8,22.5,27.4,7.8,0.0,,6.4,,1015.0,
2025-07-11,24.7,21.7,27.8,1.1,0.0,,8.2,,1017.0,
2025-07-12,25.3,22.4,30.0,0.0,0.0,,8.2,,1019.0,
2025-07-13,25.4,22.2,29.1,0.4,0.0,,9.8,,1019.0,
2025-07-14,26.1,23.2,30.6,13.8,0.0,,9.7,,1018.0,
2025-07-15,25.8,22.9,29.9,0.9,0.0,,5.7,,1018.3,
2025-07-16,26.8,23.3,30.0,1.8,0.0,,8.2,,1016.4,
2025-07-17,28.5,24.1,33.4,0.4,0.0,,17.4,,1011.7,
2025-07-18,26.4,22.4,30.3,0.0,0.0,,8.0,,1016.9,
2025-07-19,25.2,21.6,28.5,0.2,0.0,,12.6,,1018.4,
2025-07-20,26.5,22.0,30.8,7.8,0.0,,8.7,,1010.2,
2025-07-21,26.7,21.7,32.0,0.0,0.0,,7.4,,1012.9,
2025-07-22,23.7,19.9,27.7,0.0,0.0,,15.5,,1020.4,
2025-07-23,24.4,20.0,27.9,0.0,0.0,,9.4,,1024.1,
2025-07-24,26.0,20.3,30.6,0.0,0.0,,12.3,,1021.4,
2025-07-25,29.7,24.5,38.0,1.2,0.0,,9.8,,1014.9,
2025-07-26,26.4,23.5,29.8,0.0,0.0,,12.0,,1019.2,
2025-07-27,25.4,22.5,30.3,3.9,0.0,,8.0,,1016.6,
2025-07-28,29.0,23.0,34.9,0.0,0.0,,6.9,,1015.5,
2025-07-29,31.3,24.8,38.7,0.0,0.0,,10.3,,1015.4,
2025-07-30,30.8,27.4,35.6,0.4,0.0,,8.4,,1015.1,
2025-07-31,26.5,21.1,31.7,30.5,0.0,,13.4,,1015.1,
